district,year_month,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,ndvi,evi
Shimoga,2017-05-01,27.601935483870967,51.89,67.02258064516128,2.584516129032258,34.23741935483871,22.815483870967743,,
Shimoga,2017-06-01,24.65,155.45,79.813,4.145666666666667,29.296666666666667,21.571,,
Shimoga,2017-07-01,23.985806451612902,180.65,82.4058064516129,4.322258064516129,28.30548387096774,21.23677419354839,,
Shimoga,2017-08-01,23.91483870967742,150.69,83.45612903225806,3.3819354838709677,28.32935483870968,21.05548387096774,,
Shimoga,2017-09-01,23.917666666666666,145.79,85.02466666666666,2.074666666666667,28.231333333333332,20.897,,
Shimoga,2017-10-01,23.17290322580645,145.21,85.33129032258064,1.5596774193548388,27.774516129032257,19.81032258064516,,
Shimoga,2017-11-01,22.274,6.8500000000000005,76.45733333333334,1.9209999999999998,28.83833333333333,17.095000000000002,,
Shimoga,2017-12-01,21.390967741935484,1.55,67.94032258064516,2.146451612903226,29.25032258064516,15.505161290322581,,
Shimoga,2018-01-01,22.366129032258065,3.11,53.15096774193549,1.7148387096774191,31.11741935483871,15.035483870967743,,
Shimoga,2018-02-01,24.455000000000002,3.43,38.31892857142857,2.0235714285714286,33.89785714285714,16.46607142857143,,
Shimoga,2018-03-01,27.298709677419353,19.29,44.336451612903225,1.7780645161290323,36.053548387096775,19.67838709677419,,
Shimoga,2018-04-01,29.432000000000002,33.94,51.74133333333334,1.7003333333333333,37.57066666666666,22.264333333333333,,
Shimoga,2018-05-01,27.326129032258066,85.08,68.70548387096774,2.1500000000000004,33.71225806451613,22.729032258064517,,
Shimoga,2018-06-01,24.213,174.5,81.77199999999999,4.093,28.257,21.357000000000003,,
Shimoga,2018-07-01,23.76225806451613,182.31,83.18354838709678,4.933548387096774,27.733225806451614,21.308387096774194,,
Shimoga,2018-08-01,23.114516129032257,157.74,84.37774193548387,4.61,27.287419354838708,20.562258064516126,,
Shimoga,2018-09-01,23.903666666666666,40.839999999999996,78.71866666666666,2.2046666666666668,29.87,19.712333333333333,,
Shimoga,2018-10-01,24.6658064516129,38.910000000000004,68.73064516129033,1.6596774193548387,31.416774193548385,19.186774193548384,,
Shimoga,2018-11-01,24.246333333333332,7.9399999999999995,59.222,2.0260000000000002,31.843,18.050333333333334,,
Shimoga,2018-12-01,23.48225806451613,0.21000000000000002,56.361935483870965,1.747741935483871,31.25774193548387,16.98193548387097,,
Shimoga,2019-01-01,22.33967741935484,0.19,44.733548387096775,2.0748387096774197,32.20290322580645,14.553870967741936,,
Shimoga,2019-02-01,26.034285714285716,0.79,44.17107142857143,2.0085714285714285,35.35892857142857,17.999642857142856,,
Shimoga,2019-03-01,28.575806451612905,1.46,42.03741935483871,1.5603225806451613,37.99258064516129,20.450000000000003,,
